country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",14-02-2025 17:00:00,26.187500,91.744194,PM10,27,143
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",14-02-2025 17:00:00,26.187500,91.744194,CO,22,106
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",14-02-2025 17:00:00,26.181742,91.78063,PM2.5,53,398
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",14-02-2025 17:00:00,26.181742,91.78063,PM10,56,420
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",14-02-2025 17:00:00,26.349082,92.68449,NH3,1,3
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",14-02-2025 17:00:00,25.5626095,84.663264,NO2,5,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",14-02-2025 17:00:00,25.5626095,84.663264,OZONE,5,93
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",14-02-2025 17:00:00,24.75746,84.366208,OZONE,3,57
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",14-02-2025 17:00:00,26.80365,84.51954,PM2.5,38,109
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",14-02-2025 17:00:00,25.251013,86.989001,SO2,1,19
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",14-02-2025 17:00:00,25.204762,85.514960,PM2.5,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",14-02-2025 17:00:00,25.204762,85.514960,NO2,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",14-02-2025 17:00:00,25.204762,85.514960,NH3,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",14-02-2025 17:00:00,25.204762,85.514960,OZONE,12,34
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",14-02-2025 17:00:00,11.654054,92.734055,PM2.5,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",14-02-2025 17:00:00,16.554731,80.649110,PM2.5,52,133
